CATEGORY, TITLE, LOW, HIGH,URL
WINE,Dark Horse Pinot Noir,5.99,15.99,https://products2.imgix.drizly.com/ci-dark-horse-pinot-noir-0416f4fc31cc69eb.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Woodbridge Chardonnay,4.78,15.09,https://products3.imgix.drizly.com/ci-woodbridge-chardonnay-8f3d0ecdebaf7b2f.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Barefoot Pink Moscato,4.99,12.09,https://products0.imgix.drizly.com/ci-barefoot-pink-moscato-3bde98111ac333cd.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,La Crema Sonoma Coast Chardonnay,9.99,39.99,https://products1.imgix.drizly.com/ci-la-crema-sonoma-coast-chardonnay-fbc9fd94b43f13ed.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Punto Final Malbec,9.87,22.99,https://products3.imgix.drizly.com/ci-punto-final-malbec-36ea2047624bc95d.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Barefoot Moscato,2.49,12.09,https://products1.imgix.drizly.com/ci-barefoot-moscato-80f2e8eb500360b4.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Freixenet Cava Brut Cordon Negro,7.98,25.99,https://products1.imgix.drizly.com/ci-freixenet-cava-brut-cordon-negro-a1ed6bf5a0cc21d6.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Black Box Chardonnay,None,None,https://products0.imgix.drizly.com/ci-black-box-chardonnay-4144f360604a3e9f.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Korbel Brut California Champagne,9.89,22.87,https://products0.imgix.drizly.com/ci-korbel-brut-53d9b2bb38635868.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Joel Gott 815 Cabernet Sauvignon,9.99,32.09,https://products2.imgix.drizly.com/ci-joel-gott-815-cabernet-sauvignon-d28bab56ef288b89.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box Chardonnay,None,None,https://products1.imgix.drizly.com/ci-bota-box-chardonnay-7bfc6c91b49a4b71.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Cook's Brut Champagne,4.99,15.99,https://products0.imgix.drizly.com/ci-cooks-brut-imperial-57973e1d6d58e6b0.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Menage A Trois Red,6.99,19.09,https://products3.imgix.drizly.com/ci-menage-a-trois-red-bf9acbcc5d04c9b3.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Cupcake Prosecco,7.99,20.09,https://products2.imgix.drizly.com/ci-cupcake-prosecco-a54a470bb3711dd1.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box Malbec,None,None,https://products1.imgix.drizly.com/ci-bota-box-malbec-6d5bcff5f6e5af04.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
